website,telephone,operation_hours,description,restraunt_name,cuisine,facilities,facebook,location
https://www.meridianhotelkenya.com/restaurant,+ (254) 719 063 000,"{'Wed': '06:00 – 22:00', 'Tue': '06:00 – 22:00', 'Mon': '06:00 – 22:00', 'Sun': '06:00 – 22:00', 'Fri': '06:00 – 22:00', 'Sat': '06:00 – 22:00', 'Thu': '06:00 – 22:00'}",We are serious about business; and serious about coffee. Try our signature coffee or order fresh cakes from our in-house bakery. Need a break? Relax in our coffee lounge as you sip a cappuccino and browse with free Wi-Fi.,Beany Business Cafe,Other,"CreditCards,FreeWifi,DisabledAccess,Dinein,Mpesa,",https://www.meridianhotelkenya.com/restaurant,"The Meridian Hotel Building, Murang'a Road, CBD, Nairobi"
http://www.whiteelephantmalindi.com,,{},Enjoy their a la carte menu in a beautiful location with amazing art.,Wessyde Lounge,African,"SmokingArea,InHotel,OutdoorSeating,SwimmingPool,Dinein,",http://www.whiteelephantmalindi.com,"Casuarina Road, Malindi"
http://thewetlounge.com/,,"{'Wed': '12:00 – 04:00', 'Closed': '', 'Tue': '12:00 – 04:00', 'Mon': '', 'Sun': '12:00 – 04:00', 'Fri': '12:00 – 04:00', 'Sat': '12:00 – 04:00', 'Thu': '12:00 – 04:00'}","This is a chic yet classy lounge perfect for a night out with friends. Located in Hotel Royal Orchid, The Wet Lounge & Grill boasts of an eclectic ambiance that gives patrons an unforgettable experience.It has an impeccably designed VIP Room, where you can have your private parties complete with exceptional service. This is the place to go when looking to have an awesome time that you will live to remember",Wet Lounge,International,"CreditCards,FullBar,FreeParkingLot,SmokingArea,FreeWifi,DisabledAccess,InHotel,AirConditioned,",http://thewetlounge.com/,"Royal Orchid Hotel, Westlands, Nairobi"
,,"{'Wed': '08:00 – 21:30', 'Tue': '08:00 – 21:30', 'Mon': '08:00 – 21:30', 'Sun': '08:00 – 21:30', 'Fri': '08:00 – 21:30', 'Sat': '08:00 – 21:30', 'Thu': '08:00 – 21:30'}","Lovely Patio bar-restaurant where details and decoration are very much taken care of, Whispers Coffeeshop offers a peaceful, tranquil setting to take a few minutes out. With ample shade and quiet areas you can enjoy their lovely coffee, juices and cakes.",Whispers Coffeeshop,Other,"FullBar,SportsScreening,OutdoorSeating,Takeaway,",,"Next to Air Kenya Office, Lamu"
http://whistlingthorns.com/,,"{'Wed': '08:00 – 20:00', 'Tue': '08:00 – 20:00', 'Mon': '08:00 – 20:00', 'Sun': '08:00 – 20:00', 'Fri': '08:00 – 20:00', 'Sat': '08:00 – 20:00', 'Thu': '08:00 – 20:00'}","Whistling Thorns offers delicious and freshly cooked African dishes, often the Chefs use ingredients that are straight from their farm.
When you peruse the Menu you will see the kitchen staff prepare Super Salads, Perfect Pizzas, Oriental Stir Fries, and of course the Good Old Favourites of Steak or Fish and Chips or Beef burger.",Whistling Thorns,African,"CreditCards,FullBar,SportsScreening,FreeParkingLot,PaidWifi,InHotel,OutdoorSeating,SwimmingPool,Takeaway,FamilyFriendly,",http://whistlingthorns.com/,"Kiserian-Isenya Pipeline road, , Nairobi"
,,"{'Wed': '17:00 – 00:00', 'Tue': '17:00 – 00:00', 'Mon': '17:00 – 00:00', 'Sun': '17:00 – 00:00', 'Fri': '17:00 – 00:00', 'Sat': '17:00 – 00:00', 'Thu': '17:00 – 00:00'}",A Wave of Elegance,Waves Highway Bar & Grill,Other,"CreditCards,FullBar,FreeParkingLot,SmokingArea,OutdoorSeating,Takeaway,",https://www.facebook.com/pages/Waves-Highway-Bar-Grill/284039191618129,"Waiyaki Way/Naivasha Rd, , Nairobi"
,,"{'Wed': '10:00 – 18:00', 'Tue': '10:00 – 18:00', 'Mon': '10:00 – 18:00', 'Sun': '10:00 – 18:00', 'Fri': '10:00 – 18:00', 'Sat': '10:00 – 18:00', 'Thu': '10:00 – 18:00'}","Set within Kenya's tropical sunshine, Wild Waters is a Family Entertainment Park that boasts a range of fun and exhilarating activities for all ages!",Okabassi,Barbeque,,https://www.facebook.com/WildWatersKenya,"Links Rd next to Mamba Village, Nyali, Mombasa"
,,"{'Wed': '10:00 – 18:00', 'Tue': '10:00 – 18:00', 'Mon': '10:00 – 18:00', 'Sun': '10:00 – 18:00', 'Fri': '10:00 – 18:00', 'Sat': '10:00 – 18:00', 'Thu': '10:00 – 18:00'}","Set within Kenya's tropical sunshine, Wild Waters is a Family Entertainment Park that boasts a range of fun and exhilarating activities for all ages!",Olive,International,,https://www.facebook.com/WildWatersKenya,"Links Rd next to Mamba Village, Nyali, Mombasa"
,,"{'Wed': '10:00 – 18:00', 'Tue': '10:00 – 18:00', 'Mon': '10:00 – 18:00', 'Sun': '10:00 – 18:00', 'Fri': '10:00 – 18:00', 'Sat': '10:00 – 18:00', 'Thu': '10:00 – 18:00'}","Set within Kenya's tropical sunshine, Wild Waters is a Family Entertainment Park that boasts a range of fun and exhilarating activities for all ages!",O Yea Vegi,Indian,,https://www.facebook.com/WildWatersKenya,"Links Rd next to Mamba Village, Nyali, Mombasa"
,,"{'Wed': '10:00 – 18:00', 'Tue': '10:00 – 18:00', 'Mon': '10:00 – 18:00', 'Sun': '10:00 – 18:00', 'Fri': '10:00 – 18:00', 'Sat': '10:00 – 18:00', 'Thu': '10:00 – 18:00'}","Set within Kenya's tropical sunshine, Wild Waters is a Family Entertainment Park that boasts a range of fun and exhilarating activities for all ages!",Oregano,Italian,,https://www.facebook.com/WildWatersKenya,"Links Rd next to Mamba Village, Nyali, Mombasa"
,,"{'Wed': '10:00 – 18:00', 'Tue': '10:00 – 18:00', 'Mon': '10:00 – 18:00', 'Sun': '10:00 – 18:00', 'Fri': '10:00 – 18:00', 'Sat': '10:00 – 18:00', 'Thu': '10:00 – 18:00'}","Set within Kenya's tropical sunshine, Wild Waters is a Family Entertainment Park that boasts a range of fun and exhilarating activities for all ages!",Oriental,Chinese,,https://www.facebook.com/WildWatersKenya,"Links Rd next to Mamba Village, Nyali, Mombasa"
,,{},,West View Hotel,,,,"Naivasha Rd, Nairobi"
,,{},,Water Point Pub & Restaurant,,,,"Water point hse, Ngara Rd, Nairobi"
,,{},,Water Gate Canteen,,,,"Lunga Lunga Rd, Mombasa"
,,{}, ,Wimpy Restaurant,,,,"Moi Avenue, CBD, Mombasa"
