telephone,company,po_box,fax,address,unknown,business_activity
+254-20-2722046,David K Chemirmir,"14703, 00800 Westlands",,"Denis Pritt Rd - Caledonia, Nairobi, Kenya",,{'Veterinary Doctors'}
+254-20-3861061,Zuber Anwar Cockar,"21750, 00505 Ngong Rd",+254-20-7122170,"Ngong Rd, Opp Impala Club, Nairobi, Kenya",,{'Veterinary Doctors'}
+254-61-3152118; +254-61-52418,Farm Focus Veterinary Services,"795, 10106 Othaya",,"Othaya/Karima Rd, Othaya, Kenya",,{'Veterinary Doctors'}
+254-20-513541,Garden Veterinary Services Ltd,"1042, 00618 Ruaraka",,"Nairobi, Kenya",,{'Veterinary Doctors'}
+254-20-512429; +254-20-8512429; +254-722-721152,Ridgeways Veterinary Clinic,"63588, 00619 Muthaiga",+254-20-512429; +254-20-8512429,"Kiambu Rd, Nairobi, Kenya",,{'Veterinary Doctors'}
+254-62-31776,Slopes Veterinary Services,"1464, 10400 Nanyuki",,"Lumumba St, Popular Hse, Nanyuki, Kenya",,{'Veterinary Doctors'}
+254-41-5485295; +254-733-742632,Ali Sudi Vet Clinic,"424, 80109 Mtwapa",+254-41-5485295,"Mombasa/Malindi Rd, Mombasa, Kenya",,{'Veterinary Doctors'}
+254-41-471025,Nicholas M De Souza,"84821, 80100 Mombasa",+254-41-475262,"Off Links Rd, Mombasa, Kenya",,{'Veterinary Doctors'}
+254-41-33084,Itur Asoka,"30, Kikambala",+254-41-33022,"Mombasa/Nairobi Rd, Kikambala, Kenya",,{'Veterinary Doctors'}
+254-41-2492489,M A Fazil,"88432, 80100 Mombasa",,"Tom Mboya St, Mombasa, Kenya",,{'Veterinary Doctors'}
